closedAt,createdAt,diffInDays
2019-01-24T19:39:00Z,2019-01-23T17:21:33Z,1 day
2019-01-24T16:20:20Z,2019-01-24T15:50:24Z,29 mins
2019-01-24T16:20:53Z,2019-01-24T16:16:31Z,4 mins
2019-01-24T21:09:32Z,2019-01-24T21:09:14Z,0 mins
2019-01-25T22:48:42Z,2019-01-25T00:29:50Z,22 hours
2019-01-25T17:00:41Z,2019-01-25T16:05:59Z,54 mins
2019-01-28T20:55:09Z,2019-01-28T20:49:09Z,6 mins
2019-01-30T18:40:57Z,2019-01-29T15:58:33Z,1 day
2019-01-29T21:43:21Z,2019-01-29T21:29:17Z,14 mins
2019-02-01T23:01:15Z,2019-01-30T16:20:41Z,2 days
2019-01-31T19:28:42Z,2019-01-31T18:49:20Z,39 mins
2019-02-01T20:03:45Z,2019-01-31T21:22:39Z,22 hours
2019-02-01T22:17:22Z,2019-02-01T18:53:23Z,3 hours
2019-02-04T18:26:06Z,2019-02-04T16:22:42Z,2 hours
2019-02-06T22:37:44Z,2019-02-05T19:52:56Z,1 day
2019-02-06T16:00:40Z,2019-02-06T15:13:14Z,47 mins
2019-02-06T19:53:12Z,2019-02-06T19:44:57Z,8 mins
2019-02-06T22:30:19Z,2019-02-06T19:53:02Z,2 hours
2019-02-07T00:46:24Z,2019-02-06T22:20:45Z,2 hours
2019-02-07T17:02:45Z,2019-02-07T15:48:17Z,1 hours
2019-02-07T17:38:46Z,2019-02-07T17:14:58Z,23 mins
2019-02-08T07:11:57Z,2019-02-07T18:29:47Z,12 hours
2019-02-07T21:33:36Z,2019-02-07T19:40:04Z,1 hours
2019-02-07T21:44:16Z,2019-02-07T19:43:50Z,2 hours
2019-02-07T21:28:24Z,2019-02-07T20:12:01Z,1 hours
2019-02-07T22:39:43Z,2019-02-07T20:54:17Z,1 hours
2019-02-08T14:34:21Z,2019-02-08T14:14:54Z,19 mins
2019-02-08T17:13:20Z,2019-02-08T16:44:10Z,29 mins
2019-02-08T17:12:21Z,2019-02-08T16:56:36Z,15 mins
2019-02-08T19:54:07Z,2019-02-08T18:58:38Z,55 mins
2019-02-08T20:44:10Z,2019-02-08T20:43:22Z,0 mins
2019-02-11T17:06:04Z,2019-02-11T16:05:36Z,1 hours
2019-02-11T16:53:31Z,2019-02-11T16:43:41Z,9 mins
2019-02-12T15:40:48Z,2019-02-11T20:53:01Z,18 hours
2019-02-12T16:27:39Z,2019-02-11T22:00:37Z,18 hours
2019-02-12T22:01:34Z,2019-02-12T21:24:20Z,37 mins
2019-02-18T18:26:14Z,2019-02-13T16:02:23Z,5 days
2019-02-14T22:25:13Z,2019-02-14T16:00:44Z,6 hours
2019-02-26T21:20:17Z,2019-02-26T21:14:47Z,5 mins
2019-02-28T14:06:08Z,2019-02-28T14:05:59Z,0 mins
